Adapter,Match interfaces of different classes; Adapter. Allows for two incompatible classes to work together by wrapping an interface around one of the existing classes.
Bridge,Separates an object’s interface from its implementation; Bridge. Decouples an abstraction so two classes can vary independently.
Composite,A tree structure of simple and composite objects; Composite. Takes a group of objects into a single object.
Facade,A single class that represents an entire subsystem; Facade. Provides a simple interface to a more complex underlying object.
Flyweight,A fine-grained instance used for efficient sharing; Flyweight. Reduces the cost of complex object models.
Private Class Data,Restricts accessor/mutator access
Proxy,"An object representing another object; Proxy. Provides a placeholder interface to an underlying object to control access, reduce cost, or reduce complexity."
Chain of responsibility,A way of passing a request between a chain of objects
Interpreter,A way to include language elements in a program; Interpreter. Implements a specialized language.
Iterator,Sequentially access the elements of a collection; Iterator. Accesses the elements of an object sequentially without exposing its underlying representation.
Mediator,Defines simplified communication between classes; Mediator. Allows loose coupling between classes by being the only class that has detailed knowledge of their methods.
Memento,Capture and restore an object's internal state; Memento. Provides the ability to restore an object to its previous state.
Null Object,Designed to act as a default value of an object
Observer,A way of notifying change to a number of classes; Observer. Is a publish/subscribe pattern which allows a number of observer objects to see an event.
Template method,Defer the exact steps of an algorithm to a subclass
Visitor,Defines a new operation to a class without change; Visitor. Separates an algorithm from an object structure by moving the hierarchy of methods into one object.
Chain of Responsibility,Chain of Responsibility. Delegates commands to a chain of processing objects.
Template Method,"Template Method. Defines the skeleton of an algorithm as an abstract class, allowing its sub-classes to provide concrete behavior."
